hospital_name,hospital_type,address,hq_city,hq_state,hq_zip,county,state,state_fips,county_fips,fips,licensed_beds,staffed_beds,icu_beds,adult_icu_beds,pedi_icu_beds,bed_utilization,avg_ventilator_usage,increase_in_bed_capacity
"""Sage Memorial Hospital""","""Critical Access Hospital""","""US-191 & AZ-264""","""Ganado""","""AZ""","""86505""","""Apache""","""Arizona""","""04""","""001""","""04001""",25,25,4,4,0,0.10421918,1,0
"""White Mountain Regional Medical Center""","""Critical Access Hospital""","""118 S Mountain Ave""","""Springerville""","""AZ""","""85938""","""Apache""","""Arizona""","""04""","""001""","""04001""",21,21,4,4,0,0.27266797,2,0
"""Copper Queen Community Hospital""","""Critical Access Hospital""","""101 Cole Ave""","""Bisbee""","""AZ""","""85603""","""Cochise""","""Arizona""","""04""","""003""","""04003""",14,14,2,2,0,0.33508977,2,0
"""Benson Hospital""","""Critical Access Hospital""","""450 S Ocotillo Ave""","""Benson""","""AZ""","""85602""","""Cochise""","""Arizona""","""04""","""003""","""04003""",22,22,4,4,0,0.18281445,0,0
"""Northern Cochise Community Hospital""","""Critical Access Hospital""","""901 W Rex Allen Dr""","""Willcox""","""AZ""","""85643""","""Cochise""","""Arizona""","""04""","""003""","""04003""",24,24,4,4,0,0.078551911,0,0
"""Canyon Vista Medical Center (FKA Sierra Vista Regional Health Center)""","""Short Term Acute Care Hospital""","""5700 E Highway 90""","""Sierra Vista""","""AZ""","""85635""","""Cochise""","""Arizona""","""04""","""003""","""04003""",100,75,12,12,0,0.46768671,4,25
"""Flagstaff Medical Center""","""Short Term Acute Care Hospital""","""1200 N Beaver St""","""Flagstaff""","""AZ""","""86001""","""Coconino""","""Arizona""","""04""","""005""","""04005""",264,242,41,41,18,0.54920292,7,22
"""Page Hospital""","""Critical Access Hospital""","""501 N Navajo Dr""","""Page""","""AZ""","""86040""","""Coconino""","""Arizona""","""04""","""005""","""04005""",25,25,4,4,0,0.096109591,1,0
"""Tuba City Regional Health Care""","""Short Term Acute Care Hospital""","""167 Main Street""","""Tuba City""","""AZ""","""86045""","""Coconino""","""Arizona""","""04""","""005""","""04005""",73,73,13,13,0,0.43557891,2,0
"""San Carlos Apache Healthcare (FKA PHS Indian Hospital - San Carlos)""","""Short Term Acute Care Hospital""","""103 Medicine Way Rd""","""Peridot""","""AZ""","""85542""","""Graham""","""Arizona""","""04""","""009""","""04009""",127,8,1,1,0,0.45136985,0,119
"""Cobre Valley Regional Medical Center""","""Critical Access Hospital""","""5880 S Hospital Dr""","""Globe""","""AZ""","""85501""","""Gila""","""Arizona""","""04""","""007""","""04007""",25,25,4,4,0,0.65073973,2,0
"""Banner Payson Medical Center (AKA Payson Regional Medical Center)""","""Critical Access Hospital""","""807 S Ponderosa St""","""Payson""","""AZ""","""85541""","""Gila""","""Arizona""","""04""","""007""","""04007""",25,25,4,4,0,0.44263014,2,0
"""Mt Graham Regional Medical Center""","""Short Term Acute Care Hospital""","""1600 S 20th Ave""","""Safford""","""AZ""","""85546""","""Graham""","""Arizona""","""04""","""009""","""04009""",49,49,9,9,0,0.171149,2,0
"""La Paz Regional Hospital""","""Critical Access Hospital""","""1200 W Mohave Rd""","""Parker""","""AZ""","""85344""","""La Paz""","""Arizona""","""04""","""012""","""04012""",25,25,3,3,0,0.35605478,2,0
"""Banner Desert Medical Center""","""Short Term Acute Care Hospital""","""1400 S Dobson Rd""","""Mesa""","""AZ""","""85202""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",595,615,51,51,86,0.7417931,20,-20
"""Banner Boswell Medical Center""","""Short Term Acute Care Hospital""","""10401 W Thunderbird Blvd""","""Sun City""","""AZ""","""85351""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",434,410,85,85,0,0.56691003,9,24
"""St Josephs Hospital and Medical Center""","""Short Term Acute Care Hospital""","""350 W Thomas Rd""","""Phoenix""","""AZ""","""85013""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",586,501,32,32,72,0.80072182,29,85
"""Abrazo Central Campus (FKA Phoenix Baptist Hospital)""","""Short Term Acute Care Hospital""","""2000 W Bethany Home Rd""","""Phoenix""","""AZ""","""85015""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",206,140,28,28,0,0.60882121,6,66
"""Chandler Regional Medical Center""","""Short Term Acute Care Hospital""","""1955 W Frye Rd""","""Chandler""","""AZ""","""85224""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",338,96,49,49,12,0.78661072,19,242
"""HonorHealth Scottsdale Osborn Medical Center""","""Short Term Acute Care Hospital""","""7400 E Osborn Rd""","""Scottsdale""","""AZ""","""85251""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",341,337,59,59,0,0.51435924,8,4
"""Valleywise Health Medical Center (FKA Maricopa Medical Center)""","""Short Term Acute Care Hospital""","""2601 E Roosevelt St""","""Phoenix""","""AZ""","""85008""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",758,323,52,52,60,0.51196086,10,435
"""HonorHealth John C Lincoln Medical Center (FKA John C Lincoln North Mountain Hospital)""","""Short Term Acute Care Hospital""","""250 E Dunlap Ave""","""Phoenix""","""AZ""","""85020""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",262,262,20,20,0,0.57754886,8,0
"""Valleywise Behavioral Health Center - Maryvale (FKA MIHS Maryvale Hospital)""","""Short Term Acute Care Hospital""","""5102 W Campbell Ave""","""Phoenix""","""AZ""","""85031""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",228,228,16,16,0,0.18209064,3,0
"""Banner - University Medical Center Phoenix (FKA Banner Good Samaritan Medical Center)""","""Short Term Acute Care Hospital""","""1111 E Mcdowell Rd""","""Phoenix""","""AZ""","""85006""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",766,656,46,46,0,0.78406662,26,110
"""Phoenix Indian Medical Center""","""Short Term Acute Care Hospital""","""4212 N 16th St""","""Phoenix""","""AZ""","""85016""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",115,115,23,23,0,0.15332936,2,0
"""Abrazo Scottsdale Campus (FKA Paradise Valley Hospital)""","""Short Term Acute Care Hospital""","""3929 E Bell Rd""","""Phoenix""","""AZ""","""85032""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",136,120,14,14,0,0.43527398,4,16
"""HonorHealth Scottsdale Shea Medical Center""","""Short Term Acute Care Hospital""","""9003 E Shea Blvd""","""Scottsdale""","""AZ""","""85260""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",427,427,25,25,24,0.62469125,6,0
"""Banner Baywood Medical Center""","""Short Term Acute Care Hospital""","""6644 E Baywood Ave""","""Mesa""","""AZ""","""85206""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",359,318,26,26,0,0.57843542,10,41
"""Banner Thunderbird Medical Center""","""Short Term Acute Care Hospital""","""5555 W Thunderbird Rd""","""Glendale""","""AZ""","""85306""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",555,499,40,40,0,0.58860189,13,56
"""HonorHealth Deer Valley Medical Center""","""Short Term Acute Care Hospital""","""19829 N 27th Ave""","""Phoenix""","""AZ""","""85027""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",204,204,36,36,0,0.75784975,7,0
"""Banner Del E Webb Medical Center""","""Short Term Acute Care Hospital""","""14502 W Meeker Blvd""","""Sun City West""","""AZ""","""85375""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",394,314,34,34,0,0.57043886,7,80
"""Abrazo Arrowhead Campus (FKA Arrowhead Hospital)""","""Short Term Acute Care Hospital""","""18701 N 67th Ave""","""Glendale""","""AZ""","""85308""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",217,217,38,38,0,0.62552661,9,0
"""Mayo Clinic Hospital - Arizona""","""Short Term Acute Care Hospital""","""5777 E Mayo Blvd""","""Phoenix""","""AZ""","""85054""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",292,264,30,30,0,0.82464713,13,28
"""Banner Heart Hospital""","""Short Term Acute Care Hospital""","""6750 E Baywood Ave""","""Mesa""","""AZ""","""85206""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",111,111,19,19,0,0.53202516,4,0
"""Arizona Spine & Joint Hospital""","""Short Term Acute Care Hospital""","""4620 E Baseline Rd""","""Mesa""","""AZ""","""85206""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",23,23,4,4,0,0.22942227,0,0
"""CORE Institute Specialty Hospital (FKA the Surgical Hospital of Phoenix)""","""Short Term Acute Care Hospital""","""6501 N 19th Ave""","""Phoenix""","""AZ""","""85015""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",32,32,6,6,0,0.21849315,2,0
"""Abrazo West Campus (FKA West Valley Hospital)""","""Short Term Acute Care Hospital""","""13677 W Mcdowell Rd""","""Goodyear""","""AZ""","""85395""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",200,191,20,20,0,0.72587472,9,9
"""Wickenburg Community Hospital""","""Critical Access Hospital""","""520 Rose Ln""","""Wickenburg""","""AZ""","""85390""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",19,19,3,3,0,0.17534247,2,0
"""Dignity Health Arizona Specialty Hospital (FKA Arizona Orthopedic Surgical Hospital)""","""Short Term Acute Care Hospital""","""2905 W Warner Rd""","""Chandler""","""AZ""","""85224""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",24,24,4,4,0,0.21518265,0,0
"""Banner Estrella Medical Center""","""Short Term Acute Care Hospital""","""9201 W Thomas Rd""","""Phoenix""","""AZ""","""85037""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",317,317,24,24,0,0.63880557,6,0
"""Mercy Gilbert Medical Center""","""Short Term Acute Care Hospital""","""3555 S Val Vista Dr""","""Gilbert""","""AZ""","""85297""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",197,198,24,24,0,0.71210736,8,-1
"""Mountain Vista Medical Center""","""Short Term Acute Care Hospital""","""1301 S Crismon Rd""","""Mesa""","""AZ""","""85209""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",178,141,30,30,0,0.50377613,5,37
"""Banner Gateway Medical Center""","""Short Term Acute Care Hospital""","""1900 N Higley Rd""","""Gilbert""","""AZ""","""85234""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",177,165,24,24,0,0.84773767,3,12
"""HonorHealth Scottsdale Thompson Peak Medical Center""","""Short Term Acute Care Hospital""","""7400 E Thompson Peak Pkwy""","""Scottsdale""","""AZ""","""85255""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",120,120,8,8,0,0.54415524,3,0
"""Phoenix Childrens Hospital""","""Childrens Hospital""","""1919 E Thomas Rd""","""Phoenix""","""AZ""","""85016""","""Maricopa""","""Arizona""","""04""","""013""","""04013""",435,457,81,81,81,0.5402208,6,-22
"""Valley View Medical Center""","""Short Term Acute Care Hospital""","""5330 S Highway 95""","""Fort Mohave""","""AZ""","""86426""","""Mohave""","""Arizona""","""04""","""015""","""04015""",84,72,12,12,0,0.2554414,3,12
"""Western Arizona Regional Medical Center""","""Short Term Acute Care Hospital""","""2735 Silver Creek Rd""","""Bullhead City""","""AZ""","""86442""","""Mohave""","""Arizona""","""04""","""015""","""04015""",139,139,32,32,0,0.40987483,7,0
"""Havasu Regional Medical Center""","""Short Term Acute Care Hospital""","""101 Civic Center Ln""","""Lake Havasu City""","""AZ""","""86403""","""Mohave""","""Arizona""","""04""","""015""","""04015""",152,144,16,16,0,0.46348935,5,8
"""Kingman Regional Medical Center""","""Short Term Acute Care Hospital""","""3269 N Stockton Hill Rd""","""Kingman""","""AZ""","""86409""","""Mohave""","""Arizona""","""04""","""015""","""04015""",235,196,20,20,0,0.47457343,5,39
"""Summit Healthcare Regional Medical Center""","""Short Term Acute Care Hospital""","""2200 E Show Low Lake Rd""","""Show Low""","""AZ""","""85901""","""Navajo""","""Arizona""","""04""","""017""","""04017""",101,89,12,12,0,0.40815762,3,12
"""Hopi Health Care Center""","""Critical Access Hospital""","""Highway 264 Mile Post 388""","""Polacca""","""AZ""","""86042""","""Navajo""","""Arizona""","""04""","""017""","""04017""",6,6,1,1,0,0.23835616,0,0
"""Whiteriver Indian Hospital""","""Short Term Acute Care Hospital""","""200 West Hospital Drive""","""Whiteriver""","""AZ""","""85941""","""Navajo""","""Arizona""","""04""","""017""","""04017""",40,40,7,7,0,0.24842466,0,0
"""Little Colorado Medical Center""","""Critical Access Hospital""","""1501 N Williamson Ave""","""Winslow""","""AZ""","""86047""","""Navajo""","""Arizona""","""04""","""017""","""04017""",25,25,4,4,0,0.32438356,2,0
"""Oro Valley Hospital""","""Short Term Acute Care Hospital""","""1551 E Tangerine Rd""","""Oro Valley""","""AZ""","""85755""","""Pima""","""Arizona""","""04""","""019""","""04019""",146,111,36,36,0,0.41184747,2,35
"""Sells Indian Hospital""","""Short Term Acute Care Hospital""","""Arizona State Highway 86""","""Sells""","""AZ""","""85634""","""Pima""","""Arizona""","""04""","""019""","""04019""",14,14,2,2,0,0.15870841,1,0
"""Northwest Medical Center""","""Short Term Acute Care Hospital""","""6200 N La Cholla Blvd""","""Tucson""","""AZ""","""85741""","""Pima""","""Arizona""","""04""","""019""","""04019""",300,281,35,35,15,0.52079171,6,19
"""Banner - University Medical Center South (FKA University of Arizona Medical Center - South Campus)""","""Short Term Acute Care Hospital""","""2800 E Ajo Way""","""Tucson""","""AZ""","""85713""","""Pima""","""Arizona""","""04""","""019""","""04019""",245,144,12,12,0,0.72784221,4,101
"""Banner - University Medical Center Tucson (FKA University of Arizona Medical Center)""","""Short Term Acute Care Hospital""","""1625 N Campbell Ave""","""Tucson""","""AZ""","""85719""","""Pima""","""Arizona""","""04""","""019""","""04019""",625,625,90,90,60,0.6966868,18,0
"""Tucson Medical Center (AKA TMC HealthCare)""","""Short Term Acute Care Hospital""","""5301 E Grant Rd""","""Tucson""","""AZ""","""85712""","""Pima""","""Arizona""","""04""","""019""","""04019""",596,441,36,36,54,0.86572856,10,155
"""St Marys Hospital""","""Short Term Acute Care Hospital""","""1601 W Saint Marys Rd""","""Tucson""","""AZ""","""85745""","""Pima""","""Arizona""","""04""","""019""","""04019""",400,349,49,49,0,0.3515563,4,51
"""St Joseph Hospital""","""Short Term Acute Care Hospital""","""350 N Wilmot Rd""","""Tucson""","""AZ""","""85711""","""Pima""","""Arizona""","""04""","""019""","""04019""",486,451,32,32,30,0.34136623,6,35
"""Banner Casa Grande Medical Center""","""Short Term Acute Care Hospital""","""1800 E Florence Blvd""","""Casa Grande""","""AZ""","""85122""","""Pinal""","""Arizona""","""04""","""021""","""04021""",141,141,22,22,0,0.45432818,4,0
"""Holy Cross Hospital""","""Critical Access Hospital""","""1171 W Target Range Rd""","""Nogales""","""AZ""","""85621""","""Santa Cruz""","""Arizona""","""04""","""023""","""04023""",25,25,4,4,0,0.2758356,2,0
"""Northern Arizona VA Health Care System""","""VA Hospital""","""500 N Us Highway 89""","""Prescott""","""AZ""","""86313""","""Yavapai""","""Arizona""","""04""","""025""","""04025""",15,15,0,0,null,null,0,0
"""Yavapai Regional Medical Center - West""","""Short Term Acute Care Hospital""","""1003 Willow Creek Rd""","""Prescott""","""AZ""","""86301""","""Yavapai""","""Arizona""","""04""","""025""","""04025""",206,134,26,26,0,0.55399656,7,72
"""Verde Valley Medical Center""","""Short Term Acute Care Hospital""","""269 S Candy Ln""","""Cottonwood""","""AZ""","""86326""","""Yavapai""","""Arizona""","""04""","""025""","""04025""",98,87,13,13,0,0.51465911,3,11
"""Yuma Regional Medical Center""","""Short Term Acute Care Hospital""","""2400 S Avenue A""","""Yuma""","""AZ""","""85364""","""Yuma""","""Arizona""","""04""","""027""","""04027""",406,406,42,42,20,0.4097375,7,0
"""Baptist Health - Stuttgart""","""Short Term Acute Care Hospital""","""1703 N Buerkle St""","""Stuttgart""","""AR""","""72160""","""Arkansas""","""Arkansas""","""05""","""001""","""05001""",49,49,9,9,0,0.18367347,2,0
"""DeWitt Hospital & Nursing Home""","""Critical Access Hospital""","""1641 S Whitehead Dr""","""De Witt""","""AR""","""72042""","""Arkansas""","""Arkansas""","""05""","""001""","""05001""",25,25,4,4,0,0.082076505,1,0
"""Ashley County Medical Center""","""Critical Access Hospital""","""1015 Unity Rd""","""Crossett""","""AR""","""71635""","""Ashley""","""Arkansas""","""05""","""003""","""05003""",33,25,6,6,0,0.35071039,2,8
"""Baxter Regional Medical Center""","""Short Term Acute Care Hospital""","""624 Hospital Dr""","""Mountain Home""","""AR""","""72653""","""Baxter""","""Arkansas""","""05""","""005""","""05005""",268,169,17,17,0,0.53123128,4,99
"""Siloam Springs Regional Hospital""","""Short Term Acute Care Hospital""","""603 N Progress Ave""","""Siloam Springs""","""AR""","""72761""","""Benton""","""Arkansas""","""05""","""007""","""05007""",73,44,6,6,0,0.25260806,2,29
"""Mercy Hospital Northwest Arkansas (FKA Mercy Medical Center)""","""Short Term Acute Care Hospital""","""2710 S Rife Medical Ln""","""Rogers""","""AR""","""72758""","""Benton""","""Arkansas""","""05""","""007""","""05007""",208,275,24,24,8,0.41262791,4,-67
"""Ozarks Community Hospital of Gravette (AKA Ozarks Community Health System)""","""Critical Access Hospital""","""1101 Jackson St Sw""","""Gravette""","""AR""","""72736""","""Benton""","""Arkansas""","""05""","""007""","""05007""",25,25,4,4,0,0.74947947,1,0
